Starting Test for 
Transistor testing lab
16:21:20 Oct  1 2017


Please wait for device to measure data untill it stop printing *
PWM Init 

* * * * * * * * * * * * * * * * Reading complete, hit anykey to continue print 

Print Column in the following order: 

Duty, PD0, PE1, PD2, PD3 

refV = 3921
0,  5.88,  5.88,  3724.00,  3389.75 
1,  41.44,  43.75,  3724.50,  3390.50 
2,  79.25,  81.75,  3724.38,  3389.56 
3,  118.62,  119.25,  3726.62,  3390.31 
4,  155.69,  160.12,  3724.50,  3388.88 
5,  194.94,  199.12,  3725.12,  3390.25 
6,  233.81,  236.75,  3725.12,  3388.12 
7,  274.75,  278.31,  3723.62,  3388.19 
8,  316.19,  315.50,  3723.81,  3387.25 
9,  354.75,  355.00,  3725.75,  3387.19 
10,  393.62,  394.88,  3722.50,  3386.19 
11,  432.12,  438.12,  3723.31,  3386.06 
12,  470.62,  476.25,  3721.19,  3383.50 
13,  509.94,  514.19,  3718.56,  3382.12 
14,  548.25,  553.62,  3715.56,  3378.88 
15,  586.38,  590.88,  3710.56,  3373.19 
16,  624.50,  631.62,  3704.31,  3368.94 
17,  664.38,  669.06,  3691.94,  3356.44 
18,  705.19,  707.88,  3655.44,  3325.44 
19,  744.25,  747.38,  3418.94,  3110.31 
20,  785.38,  785.50,  2949.88,  2683.62 
21,  823.12,  825.00,  2490.31,  2267.00 
22,  862.06,  863.81,  2062.94,  1876.38 
23,  898.44,  903.25,  1670.12,  1518.50 
24,  936.12,  941.62,  1315.00,  1196.12 
25,  973.25,  980.75,  1013.44,  922.50 
26,  1015.00,  1019.50,  746.50,  681.75 
27,  1055.31,  1059.38,  530.06,  487.50 
28,  1096.88,  1098.25,  361.50,  335.31 
29,  1137.25,  1137.38,  240.50,  225.31 
30,  1176.94,  1176.25,  162.56,  147.50 
31,  1215.88,  1214.31,  102.94,  93.25 
32,  1253.31,  1254.75,  61.94,  58.38 
33,  1291.06,  1292.50,  37.50,  37.38 
34,  1327.81,  1332.44,  22.94,  23.62 
35,  1366.25,  1370.88,  12.06,  13.94 
36,  1410.94,  1410.75,  7.56,  9.50 
37,  1449.69,  1449.75,  5.62,  6.88 
38,  1488.56,  1487.94,  4.38,  5.12 
39,  1528.94,  1528.25,  4.12,  4.62 
40,  1568.06,  1566.31,  5.19,  2.75 
41,  1607.31,  1604.75,  4.81,  3.38 
42,  1645.50,  1643.25,  5.62,  3.38 
43,  1683.12,  1683.56,  5.62,  4.00 
44,  1719.94,  1725.12,  6.62,  2.75 
45,  1758.62,  1762.69,  6.25,  3.00 
46,  1796.56,  1799.50,  6.75,  3.50 
47,  1837.81,  1839.44,  6.50,  3.69 
48,  1878.69,  1880.62,  5.62,  3.38 
49,  1919.81,  1919.88,  6.38,  3.25 
50,  1961.62,  1959.12,  6.31,  3.25 
51,  2000.06,  1996.88,  6.25,  3.88 
52,  2037.75,  2034.19,  5.88,  2.62 
53,  2074.19,  2078.19,  6.38,  2.75 
54,  2112.50,  2119.75,  7.38,  2.62 
55,  2150.19,  2157.62,  7.69,  3.12 
56,  2189.44,  2195.31,  7.31,  2.25 
57,  2229.75,  2234.25,  6.88,  3.00 
58,  2271.12,  2273.12,  6.75,  3.50 
59,  2312.12,  2310.31,  6.50,  3.25 
60,  2350.75,  2349.69,  6.31,  2.62 
61,  2389.12,  2387.81,  8.56,  4.25 
62,  2427.00,  2427.50,  8.81,  3.25 
63,  2463.00,  2466.00,  9.19,  3.25 
64,  2501.94,  2505.38,  9.31,  3.12 
65,  2542.12,  2543.75,  8.31,  4.00 
66,  2580.12,  2583.56,  8.06,  2.75 
67,  2621.56,  2622.38,  7.50,  4.88 
68,  2661.69,  2661.56,  5.94,  2.50 
69,  2702.88,  2700.50,  6.19,  4.00 
70,  2742.56,  2739.75,  5.88,  3.12 
71,  2778.69,  2777.38,  11.19,  3.50 
72,  2817.38,  2817.44,  10.94,  2.62 
73,  2856.00,  2856.69,  13.12,  4.62 
74,  2892.69,  2894.94,  12.12,  3.38 
75,  2933.56,  2933.44,  10.81,  3.12 
76,  2972.12,  2973.12,  10.19,  3.38 
77,  3011.62,  3012.12,  9.31,  3.00 
78,  3053.12,  3052.12,  8.88,  2.88 
79,  3092.44,  3091.00,  9.44,  3.62 
80,  3131.19,  3129.94,  9.69,  3.50 
81,  3170.50,  3169.00,  9.06,  3.75 
82,  3210.69,  3208.62,  10.38,  4.38 
83,  3246.94,  3246.06,  10.19,  1.88 
84,  3285.44,  3286.31,  9.75,  3.25 
85,  3324.06,  3324.12,  10.50,  3.75 
86,  3361.94,  3363.25,  10.38,  3.88 
87,  3403.00,  3402.25,  9.00,  2.75 
88,  3442.88,  3439.31,  8.62,  3.00 
89,  3483.31,  3479.31,  9.06,  3.25 
90,  3522.06,  3521.56,  8.94,  3.75 
91,  3560.00,  3563.69,  9.19,  2.88 
92,  3598.25,  3600.69,  9.75,  2.50 
93,  3639.00,  3640.25,  10.94,  3.62 
94,  3677.75,  3677.94,  11.94,  3.38 
95,  3716.25,  3716.50,  12.62,  3.50 
96,  3755.88,  3757.00,  11.19,  3.12 
97,  3796.44,  3795.62,  12.88,  4.88 
98,  3833.56,  3834.31,  11.44,  2.50 
99,  3873.00,  3872.81,  12.00,  3.12 
100,  3892.69,  3888.12,  13.06,  2.62 
