Starting Test for 
Transistor testing lab
16:21:20 Oct  1 2017


Please wait for device to measure data untill it stop printing *
PWM Init 

* * * * * * * * * * * * * * * * Reading complete, hit anykey to continue print 

Print Column in the following order: 

Duty, PD0, PE1, PD2, PD3 

refV = 3920
0,  6.38,  6.50,  3728.12,  3391.38 
1,  41.25,  43.00,  3729.31,  3391.56 
2,  79.12,  81.75,  3729.19,  3390.69 
3,  118.31,  117.88,  3730.38,  3390.19 
4,  155.44,  159.19,  3730.12,  3390.25 
5,  196.38,  198.94,  3728.69,  3389.69 
6,  233.75,  237.38,  3730.62,  3390.31 
7,  273.94,  277.50,  3729.31,  3388.00 
8,  313.56,  313.88,  3729.88,  3388.50 
9,  355.06,  353.62,  3731.44,  3388.06 
10,  394.25,  394.88,  3731.19,  3387.00 
11,  432.94,  437.88,  3730.81,  3385.44 
12,  469.94,  475.25,  3731.06,  3384.94 
13,  509.75,  513.88,  3732.38,  3383.56 
14,  548.19,  553.00,  3732.31,  3380.56 
15,  586.75,  590.56,  3732.69,  3376.00 
16,  625.06,  631.25,  3732.50,  3369.44 
17,  664.12,  668.31,  3732.81,  3356.31 
18,  705.62,  708.38,  3734.06,  3324.12 
19,  744.69,  747.25,  3745.94,  3104.38 
20,  785.00,  785.56,  3768.12,  2676.25 
21,  823.50,  825.12,  3791.44,  2260.06 
22,  862.12,  863.69,  3810.00,  1869.19 
23,  899.00,  903.75,  3829.75,  1513.00 
24,  937.75,  941.94,  3846.81,  1191.62 
25,  973.62,  980.25,  3860.19,  917.69 
26,  1014.19,  1020.31,  3873.38,  678.25 
27,  1056.62,  1059.81,  3881.44,  483.19 
28,  1096.75,  1097.81,  3884.25,  333.75 
29,  1136.75,  1136.50,  3886.25,  222.81 
30,  1176.88,  1176.38,  3895.69,  144.31 
31,  1215.88,  1214.81,  3894.50,  92.38 
32,  1253.75,  1254.25,  3895.31,  58.06 
33,  1291.44,  1292.81,  3894.56,  35.75 
34,  1327.69,  1331.94,  3894.88,  23.38 
35,  1367.31,  1371.62,  3895.31,  13.31 
36,  1411.94,  1411.38,  3895.81,  9.25 
37,  1450.25,  1450.00,  3892.56,  7.00 
38,  1488.44,  1488.06,  3893.31,  5.00 
39,  1529.56,  1527.69,  3891.44,  3.88 
40,  1568.94,  1566.44,  3895.00,  2.25 
41,  1607.69,  1604.75,  3895.94,  1.38 
42,  1646.38,  1643.38,  3895.06,  1.50 
43,  1683.44,  1683.94,  3896.00,  2.88 
44,  1719.81,  1725.25,  3896.44,  1.00 
45,  1758.06,  1761.94,  3895.62,  2.00 
46,  1797.31,  1800.62,  3896.62,  1.88 
47,  1837.56,  1838.94,  3896.62,  2.06 
48,  1878.69,  1881.25,  3895.12,  2.12 
49,  1920.62,  1920.25,  3896.00,  2.62 
50,  1960.44,  1958.69,  3896.25,  1.50 
51,  1999.12,  1996.31,  3894.88,  1.62 
52,  2038.38,  2034.88,  3895.75,  1.50 
53,  2074.56,  2078.44,  3896.00,  1.25 
54,  2112.31,  2119.12,  3896.81,  1.25 
55,  2150.88,  2158.12,  3897.19,  1.62 
56,  2190.19,  2195.00,  3897.62,  2.75 
57,  2230.75,  2234.88,  3898.00,  2.88 
58,  2270.88,  2272.25,  3896.19,  1.62 
59,  2312.81,  2311.75,  3897.56,  2.25 
60,  2352.31,  2349.50,  3896.50,  2.00 
61,  2389.44,  2388.38,  3900.00,  2.12 
62,  2427.94,  2428.00,  3900.25,  1.88 
63,  2464.50,  2466.38,  3899.75,  2.12 
64,  2501.12,  2504.56,  3899.06,  1.88 
65,  2542.50,  2543.88,  3899.25,  2.00 
66,  2580.56,  2583.69,  3899.00,  1.50 
67,  2621.12,  2622.12,  3897.38,  1.62 
68,  2663.25,  2662.56,  3899.06,  2.25 
69,  2703.75,  2701.38,  3897.81,  1.50 
70,  2741.88,  2739.69,  3895.62,  1.88 
71,  2780.06,  2778.31,  3900.31,  2.25 
72,  2818.88,  2817.75,  3904.44,  1.62 
73,  2856.06,  2857.75,  3905.88,  2.12 
74,  2895.25,  2895.94,  3903.88,  2.38 
75,  2934.88,  2934.75,  3902.56,  2.12 
76,  2973.38,  2974.06,  3902.06,  2.00 
77,  3013.19,  3013.44,  3901.81,  1.88 
78,  3054.12,  3053.00,  3901.44,  2.00 
79,  3094.44,  3092.94,  3901.31,  2.62 
80,  3133.50,  3130.81,  3900.00,  1.25 
81,  3171.06,  3169.81,  3901.19,  1.38 
82,  3210.44,  3208.81,  3900.69,  1.75 
83,  3248.25,  3247.06,  3900.25,  2.38 
84,  3286.50,  3286.94,  3902.94,  2.00 
85,  3324.81,  3325.62,  3902.06,  1.75 
86,  3363.56,  3364.12,  3902.31,  2.12 
87,  3403.62,  3402.31,  3901.81,  1.50 
88,  3444.50,  3440.94,  3901.00,  2.50 
89,  3484.50,  3478.94,  3899.94,  2.38 
90,  3522.19,  3522.00,  3900.25,  0.75 
91,  3561.56,  3566.00,  3899.56,  2.25 
92,  3600.62,  3602.19,  3902.19,  1.62 
93,  3640.19,  3640.69,  3903.25,  2.00 
94,  3680.50,  3680.88,  3905.00,  2.12 
95,  3719.56,  3718.44,  3904.69,  2.00 
96,  3758.44,  3758.81,  3906.00,  1.62 
97,  3798.19,  3797.00,  3904.12,  3.38 
98,  3836.62,  3835.88,  3903.88,  2.25 
99,  3875.06,  3874.81,  3905.06,  2.12 
100,  3896.12,  3891.88,  3906.44,  1.88 
