refV = 3924,,,,
Duty,PD0,PE1,PD2,PD3
0,7.56,5.94,1.38,6
1,43.75,5,1.12,6
2,81.38,4.38,0.75,5.12
3,119.44,4.88,1.5,5.88
4,157.75,4.62,1.19,6.5
5,195.5,3.38,1.12,4.94
6,236.38,4.75,1.5,6.5
7,278,5.25,0.81,5.44
8,318,5.44,1.12,6.62
9,356.38,5.19,2.62,5.94
10,396.12,5.19,3.06,6
11,435.38,6,3.88,6.31
12,473.19,9.62,3.12,6.12
13,512.44,8.81,2.25,6.88
14,551.06,8.62,2.19,6.56
15,588.56,7.62,2.31,5.94
16,627.44,6.88,2.25,5.75
17,668.56,6.31,1.69,5.88
18,707.81,6.12,1.62,6
19,748.75,7.06,1.56,6.19
20,787.38,5.62,1.25,4.69
21,826,7.38,2.62,7.5
22,864.38,6.31,1.62,5.56
23,901.81,7,2,6.25
24,938.5,7.56,2.12,5.88
25,974.69,6.25,1.62,5.88
26,1015.5,7.25,2.75,6.69
27,1060.56,6.69,1.94,5.81
28,1101.31,7.5,2.38,6.44
29,1140.5,6.69,4.44,6.25
30,1179.88,6.94,6.12,5.56
31,1218.06,6.75,4.62,6.25
32,1256.19,6.44,3.94,6.69
33,1293.62,8.12,4.88,6.44
34,1330.69,7.31,3.88,6.12
35,1369.12,8.06,3.38,6.06
36,1407.56,8.44,3.56,6.69
37,1454.88,7.5,3.56,6.38
38,1492.44,7.56,3.44,6.62
39,1532.81,8,3.12,5.62
40,1572.88,7.88,4.31,6.12
41,1610.5,6.44,3.88,6.75
42,1649.19,6.5,3.75,6.5
43,1685.38,7.19,4,6.25
44,1722.38,10.62,4.31,7.06
45,1761.25,11.31,4.31,6.69
46,1800.06,11.06,5.19,7.06
47,1840.06,10.69,3.5,5.5
48,1881.94,9.88,3.12,5.25
49,1923.44,9.94,4.25,6.62
50,1963.44,9.69,5,6.44
51,2002,9.31,5,6.12
52,2041.06,9.06,4.5,6.19
53,2077.12,9.25,4.88,5.88
54,2115.81,16.38,5.56,6.12
55,2153.56,16.69,5.56,6.12
56,2191.56,15,5.5,6.12
57,2232.5,13.44,4.94,6.06
58,2273.75,11.88,4.62,7
59,2314.31,11.94,5,5.5
60,2353.56,10.94,4.94,5.69
61,2390,11.25,6.06,5.62
62,2427.88,11.31,8.25,5.75
63,2465.31,11.06,8.25,6.06
64,2506.38,10.56,9.62,5.62
65,2544.19,10.75,8.69,6.06
66,2583.44,11.75,9.25,7.12
67,2624,11.5,7.25,6.56
68,2664.81,11.5,7.06,5.69
69,2705.62,11.44,7.06,5.44
70,2744.38,10.69,7.75,5.19
71,2782.31,12,9.62,6.19
72,2820.81,11,15.88,5.56
73,2856.94,11.81,16.94,5.38
74,2899.12,11.06,16.19,6
75,2937.44,11.25,15.5,6.38
76,2974.62,11.81,14.62,5.56
77,3016.06,11.31,13.75,5.44
78,3055.38,11.5,13.62,6.38
79,3095.81,13.06,15.06,5.69
80,3136.19,11.44,14.56,5.69
81,3173,11.75,15.69,6.56
82,3212.44,12.81,16.25,5.5
83,3250.81,11.62,16.44,5.75
84,3289.06,12.19,18.31,6
85,3327.12,11.25,18.25,5.44
86,3365.69,10.44,18.38,5.81
87,3406.94,11.25,18.38,5.75
88,3446,10.75,17.31,5.38
89,3486.31,12.69,17.19,5.88
90,3524.56,12.81,17.38,5.25
91,3562,13.62,18.31,5.12
92,3603,15.31,21.81,5.69
93,3642,15.62,23.06,6.25
94,3679.94,14.75,24.75,6
95,3721.75,14.19,25.12,5.81
96,3757.75,14.12,25.62,5.62
97,3800.5,13.94,25.31,5.06
98,3838.19,14.5,25.75,5.31
99,3855.88,14.31,26.44,6.12
100,3859,12.5,29,6.06
