refV = 3922,,,,
Duty,PD0,PE1,PD2,PD3
0,11.12,8.94,4.44,7.81
1,45,45.38,4.25,8.56
2,82.62,85.56,5.5,7.44
3,122.19,121.94,4.88,8.06
4,159.12,162.06,5.88,8.31
5,201.44,201.44,6.44,7.75
6,240.25,239.06,5.75,8
7,279.12,279.12,6.75,8.38
8,319.31,318.75,7.38,8.12
9,359,356.94,7.5,8.12
10,397.62,398.25,8.38,8.31
11,437.25,441.19,7.94,7.75
12,477.25,478.94,7.5,9.12
13,514.5,517.25,7.69,8.38
14,553.56,554.25,7.69,7.75
15,592.06,591.88,7.5,9.19
16,630.06,631.31,8.31,8.5
17,669.94,671.5,7.19,8.12
18,709.69,710.62,6.94,9.12
19,748.88,751.56,7.44,8.19
20,789.38,790.19,6.62,7.81
21,829.25,830,7.88,9.69
22,866.38,867.69,7.38,7.75
23,904.19,906.94,8.19,8.94
24,940.44,943.31,8.62,8.56
25,980.94,981.38,8.62,8
26,1023.69,1021.38,7.88,7.5
27,1061.88,1060.69,7.88,8.19
28,1101.69,1103,9.81,7.94
29,1143.12,1144.06,9.62,8.62
30,1181.81,1182.5,12.31,8.88
31,1221.69,1222.5,10.31,7.44
32,1260.44,1260.44,10.31,8.12
33,1296.62,1297.56,11,8.75
34,1333.5,1335.31,11.12,8.62
35,1373,1372.31,10.69,9.06
36,1417.94,1412.88,9.94,8.69
37,1455.44,1453.44,10.19,8.69
38,1493.12,1492.75,8.75,8.31
39,1533,1533.56,8.88,8.38
40,1573.75,1575.88,10.69,9.25
41,1613.56,1612.94,10.88,8.38
42,1651.19,1650.94,11.38,7.5
43,1689.38,1689.38,11.81,9
44,1725.69,1726.81,11.62,8.38
45,1764.31,1763.12,12.06,7.5
46,1803.75,1801.31,11.38,7.88
47,1843.06,1838.81,12.38,9.12
48,1884.06,1885.25,11.19,7.81
49,1924.94,1926.19,11.19,8
50,1965.62,1965.25,12.44,9.06
51,2004.69,2004.44,12.88,8.12
52,2044.31,2041.69,12,9.19
53,2081,2084,12.12,8.12
54,2118.12,2120.19,12.88,7.69
55,2155.69,2156.75,12.75,8.12
56,2194.5,2193.75,13.31,8.69
57,2234.38,2233.88,12.81,8.19
58,2276.81,2274.81,12.12,8.81
59,2316.38,2315.56,12,8.06
60,2354.75,2355.06,12.62,6.69
61,2395.25,2393.88,14.88,8.69
62,2432,2430.56,15,8
63,2469.94,2470.44,14.56,9.19
64,2507.31,2505.38,15.25,8.38
65,2548,2544.31,14.56,8.44
66,2585.88,2584.12,13.88,8.31
67,2625.88,2623.06,13.62,8.69
68,2665.81,2663.75,13.44,8.19
69,2707.81,2706.25,11.94,8.25
70,2747.06,2744.75,12.62,8.44
71,2785.44,2783.56,17.81,7.88
72,2824.12,2821.75,18.5,8.31
73,2861.62,2858.56,20,8.88
74,2897.56,2896.94,19.5,7.88
75,2938.94,2936.5,16.88,8.25
76,2980.44,2974.62,17.56,9
77,3018.69,3014.69,16.25,8.19
78,3058.44,3054.75,16.06,8.44
79,3098.44,3095,16.56,9.31
80,3137.44,3135.94,16.31,7.19
81,3177.31,3174.12,16.06,8.25
82,3215.88,3211.81,17.56,8.5
83,3252.56,3250.88,17.31,7.94
84,3292.44,3288.56,16.75,8.5
85,3329.81,3327,17.5,8.25
86,3368.12,3365.88,16.75,8.12
87,3407.56,3403.75,16.44,9.12
88,3446.44,3442,16.12,8.19
89,3487,3482.88,16.06,8.19
90,3525.38,3523.75,15.31,8.94
91,3564.75,3567,16.69,8.5
92,3604.75,3605,16.5,7.56
93,3645.06,3642.38,18.19,8.12
94,3681.06,3680.19,18.56,8.25
95,3719.69,3719.5,19.12,8.56
96,3763.19,3759,20.38,8.88
97,3800.19,3797.19,19.31,7.88
98,3840.19,3837.75,19.75,8.44
99,3878.31,3875.06,19.5,9.25
100,3895.81,3890.44,19.19,6.62
