refV = 3918,,,,
Duty, PD0, PE1, PD2, PD3 
0,4.75,2.12,3885.81,1
1,40,39.88,3887.88,1.44
2,77.31,78.88,3889.12,1.25
3,117.56,117.81,3890.06,1.5
4,153.88,155.69,3888.75,0.62
5,192.88,194.31,3889.81,0.62
6,233.19,233.25,3888.81,0.62
7,272.88,271.75,3889.44,0.5
8,313.88,311.5,3890,0.94
9,354.56,351.81,3890.5,0.56
10,392.62,391.5,3890.44,1.38
11,430.94,433.19,3892.62,8.06
12,469.5,470.88,3846,50.06
13,509.5,505.12,3639.06,230.12
14,547.5,529.44,3185.69,639
15,586.19,549,2546.06,1209.81
16,624.56,567.06,1820.81,1842.44
17,663.62,581.88,1076.25,2479.81
18,704.38,594,554.69,2943.19
19,743.62,603.19,356.94,3122.5
20,784.44,609.75,232.81,3233.75
21,822.38,611.5,186.81,3279.5
22,860.44,613.31,167.75,3299
23,898.88,615.88,157.19,3312.12
24,936,615.5,149.88,3324.12
25,972.25,616.56,142.19,3332.31
26,1013.12,616.44,136.31,3340.06
27,1056.69,616.81,130,3347.38
28,1095.5,617.12,122,3355.12
29,1135.75,617.44,124.62,3359.44
30,1176.25,618.75,127.75,3367.88
31,1214.31,619.44,122.69,3372.38
32,1252.88,619.5,120.38,3377.5
33,1289,619.38,118.69,3383.44
34,1326.44,620.94,117,3388.38
35,1365.19,620.94,115.38,3392.5
36,1406.06,621.69,112.38,3400
37,1449.25,621.31,108.75,3402.94
38,1487.69,622.06,107.44,3408.19
39,1527.56,622.5,106.56,3412.75
40,1567.25,623.06,106.56,3417.81
41,1605.62,622.31,105.06,3422.56
42,1644,623.06,104.44,3426.56
43,1682.06,623.19,104,3430.25
44,1717.94,627.25,103.88,3434.69
45,1756,626.75,104,3439.31
46,1795,625.81,102.94,3442.88
47,1836.06,629.5,102.75,3449.75
48,1877.25,629.81,100.06,3452.25
49,1918.5,628.75,100,3456.56
50,1958.31,629.38,100.38,3460.19
51,1997.25,630.31,99.12,3465.06
52,2036.12,629.56,97.12,3467.56
53,2072.81,629.25,97.81,3473.5
54,2109.56,637.31,96.38,3477.19
55,2148.44,635.94,95.81,3481.25
56,2185.69,634.44,96.44,3485.75
57,2227.12,635.12,95,3488.69
58,2269.19,634.25,94.81,3492.94
59,2309.62,633.5,94.81,3497.62
60,2348,634.25,93.69,3500.38
61,2386,633.62,95.06,3503.44
62,2422.94,633.31,95.88,3510.12
63,2459,634.12,95.12,3511.38
64,2500.62,634.38,95.5,3517.12
65,2538.19,634.75,94.19,3520.12
66,2577.12,635.19,92.94,3524.5
67,2618.19,634.44,91.31,3529.69
68,2659.38,635.94,90.44,3532.44
69,2699.56,636.25,89.38,3536.06
70,2738.31,635.75,86.19,3539.56
71,2776.31,637.12,89.56,3544.62
72,2815.56,636.56,94.81,3547.56
73,2851.44,637.25,95.94,3551.38
74,2891.75,637.75,94.12,3556.19
75,2931.12,638,93,3559.31
76,2969.56,638.81,92.94,3563
77,3010.38,639.06,90.12,3567.06
78,3050.19,639,89.62,3568.69
79,3090.12,639.56,89,3574.12
80,3127.75,640,87.81,3576.94
81,3167.81,640,88.12,3580.94
82,3206.12,641.06,88.31,3586.94
83,3245.31,640.69,88.31,3589.62
84,3282.94,641,88.81,3593.25
85,3320.31,640.31,88.56,3597.62
86,3357.81,640.38,87.44,3599.88
87,3401.62,639.25,86.62,3604.88
88,3438.81,639.31,85.19,3608.12
89,3478.81,639.75,84.44,3611.06
90,3519.25,644.06,83.62,3615.19
91,3554.75,646.12,82.88,3618.94
92,3595.75,645.94,86.81,3622.81
93,3634.88,645.31,87.06,3626.12
94,3674.31,645.88,87.25,3631
95,3715.19,646.88,87.19,3633.94
96,3751.69,645.06,87.31,3637.38
97,3792.5,646.69,87,3641.94
98,3831.62,646.38,86.81,3645.12
99,3857.38,646.5,86.56,3648.38
100,3860.69,646,87.5,3648.62
