Starting Test for 
Transistor testing lab
16:21:20 Oct  1 2017


Please wait for device to measure data untill it stop printing *
PWM Init 

* * * * * * * * * * * * * * * * Reading complete, hit anykey to continue print 

Print Column in the following order: 

Duty, PD0, PE1, PD2, PD3 

refV = 3921
0,  29.44,  3080.00,  3665.19,  3328.62 
1,  41.25,  3082.38,  3667.62,  3330.81 
2,  79.81,  3083.38,  3668.25,  3330.06 
3,  117.44,  3081.44,  3668.19,  3328.50 
4,  154.94,  3083.44,  3669.81,  3329.50 
5,  195.81,  3082.25,  3667.31,  3328.56 
6,  235.12,  3083.50,  3667.25,  3328.38 
7,  276.00,  3084.44,  3668.56,  3328.62 
8,  315.06,  3084.12,  3667.12,  3328.56 
9,  355.19,  3086.56,  3668.94,  3329.44 
10,  394.19,  3087.06,  3669.12,  3327.88 
11,  433.19,  3087.56,  3669.75,  3328.56 
12,  471.69,  3092.50,  3669.69,  3328.06 
13,  510.69,  3092.50,  3670.38,  3329.19 
14,  547.81,  3091.94,  3668.44,  3328.94 
15,  586.88,  3091.56,  3669.12,  3328.12 
16,  625.38,  3091.88,  3668.62,  3327.81 
17,  665.12,  3091.69,  3667.69,  3328.19 
18,  706.06,  3091.88,  3666.44,  3327.00 
19,  745.31,  3092.12,  3665.62,  3326.50 
20,  786.06,  3092.88,  3666.69,  3327.38 
21,  823.06,  3094.06,  3667.06,  3327.19 
22,  861.50,  3094.69,  3666.31,  3327.88 
23,  899.06,  3094.88,  3665.12,  3326.00 
24,  935.81,  3095.12,  3666.62,  3326.12 
25,  972.19,  3095.75,  3665.56,  3325.69 
26,  1012.69,  3096.19,  3665.06,  3325.56 
27,  1058.62,  3097.31,  3664.25,  3325.94 
28,  1098.56,  3097.50,  3661.25,  3326.00 
29,  1137.25,  3097.31,  3659.38,  3324.75 
30,  1177.25,  3098.50,  3660.56,  3323.75 
31,  1216.00,  3098.81,  3663.44,  3324.38 
32,  1253.19,  3099.12,  3665.75,  3323.81 
33,  1291.25,  3100.69,  3665.75,  3323.44 
34,  1327.50,  3100.81,  3664.25,  3323.38 
35,  1366.06,  3100.88,  3663.94,  3322.31 
36,  1404.50,  3102.44,  3662.88,  3321.75 
37,  1451.25,  3102.44,  3662.69,  3322.75 
38,  1489.69,  3103.06,  3661.75,  3321.38 
39,  1529.12,  3103.56,  3658.88,  3320.69 
40,  1569.38,  3102.25,  3656.69,  3320.12 
41,  1607.75,  3103.25,  3659.81,  3319.44 
42,  1646.25,  3103.25,  3659.62,  3319.56 
43,  1683.00,  3103.25,  3659.50,  3318.19 
44,  1719.75,  3106.12,  3658.19,  3317.25 
45,  1758.44,  3109.00,  3659.56,  3317.69 
46,  1796.44,  3108.94,  3657.69,  3317.06 
47,  1837.38,  3111.81,  3658.19,  3316.12 
48,  1878.88,  3111.06,  3655.50,  3315.62 
49,  1920.25,  3110.88,  3656.06,  3314.69 
50,  1961.12,  3111.00,  3654.81,  3312.94 
51,  1999.56,  3110.38,  3651.69,  3311.31 
52,  2037.75,  3111.12,  3652.69,  3311.56 
53,  2074.75,  3110.88,  3651.44,  3309.31 
54,  2112.62,  3115.81,  3650.06,  3308.94 
55,  2150.50,  3120.50,  3650.69,  3309.62 
56,  2189.38,  3120.25,  3648.94,  3307.00 
57,  2230.19,  3120.69,  3646.94,  3306.12 
58,  2271.19,  3119.44,  3644.94,  3303.56 
59,  2311.94,  3120.12,  3646.00,  3302.88 
60,  2350.06,  3119.75,  3642.25,  3300.75 
61,  2388.94,  3120.75,  3641.12,  3298.75 
62,  2424.00,  3121.31,  3638.12,  3296.69 
63,  2461.56,  3121.38,  3633.75,  3293.25 
64,  2503.69,  3123.62,  3632.75,  3291.19 
65,  2542.62,  3125.12,  3628.88,  3288.00 
66,  2581.19,  3127.00,  3624.06,  3284.69 
67,  2621.38,  3127.12,  3619.06,  3280.94 
68,  2663.31,  3129.69,  3611.38,  3274.88 
69,  2703.44,  3130.69,  3604.50,  3267.56 
70,  2742.00,  3133.19,  3596.19,  3257.94 
71,  2779.69,  3136.25,  3585.69,  3247.38 
72,  2817.81,  3138.44,  3569.44,  3231.44 
73,  2854.19,  3141.44,  3545.50,  3209.31 
74,  2896.25,  3146.38,  3518.25,  3183.12 
75,  2934.75,  3151.81,  3476.19,  3144.62 
76,  2973.31,  3158.38,  3399.50,  3070.44 
77,  3014.06,  3171.00,  3218.75,  2899.44 
78,  3054.12,  3188.94,  2947.00,  2657.69 
79,  3093.19,  3206.50,  2630.00,  2381.94 
80,  3132.62,  3226.75,  2305.56,  2091.75 
81,  3169.56,  3246.38,  1970.06,  1785.62 
82,  3209.69,  3450.12,  1094.69,  1.00 
83,  3246.88,  2737.81,  709.12,  1.62 
84,  3283.75,  2704.75,  495.06,  1.44 
85,  3323.38,  3269.12,  383.94,  1.44 
86,  3362.06,  3638.38,  312.81,  1.25 
87,  3402.88,  3402.00,  96.19,  72.44 
88,  3443.19,  3439.31,  21.19,  12.50 
89,  3482.56,  3481.81,  9.94,  1.69 
90,  3522.00,  3521.50,  9.38,  1.12 
91,  3559.94,  3560.31,  9.94,  1.19 
92,  3599.88,  3601.62,  12.56,  1.12 
93,  3637.81,  3639.81,  12.44,  1.56 
94,  3677.81,  3678.12,  12.25,  1.44 
95,  3720.00,  3718.50,  13.94,  2.19 
96,  3756.81,  3755.88,  12.88,  1.44 
97,  3797.19,  3795.44,  13.12,  1.69 
98,  3835.44,  3833.75,  12.56,  1.25 
99,  3873.75,  3872.88,  13.12,  1.56 
100,  3893.88,  3890.12,  13.12,  2.38 
