Starting Test for 
Transistor testing lab
16:21:20 Oct  1 2017


Please wait for device to measure data untill it stop printing *
PWM Init 

* * * * * * * * * * * * * * * * Reading complete, hit anykey to continue print 

Print Column in the following order: 

Duty, PD0, PE1, PD2, PD3 

refV = 3919
0,  10.38,  8.75,  562.19,  2938.56 
1,  45.88,  46.00,  561.69,  2940.00 
2,  84.50,  86.44,  562.62,  2941.00 
3,  123.50,  123.69,  562.06,  2939.94 
4,  160.56,  162.94,  562.25,  2940.75 
5,  203.19,  201.62,  561.81,  2940.88 
6,  241.50,  241.25,  560.56,  2942.75 
7,  280.56,  280.50,  560.00,  2943.50 
8,  320.00,  318.88,  558.81,  2943.25 
9,  359.19,  357.94,  557.81,  2944.94 
10,  398.94,  400.06,  555.38,  2947.81 
11,  438.06,  442.44,  552.56,  2950.56 
12,  477.56,  480.06,  547.50,  2955.06 
13,  516.38,  517.69,  541.94,  2959.19 
14,  553.44,  554.81,  534.50,  2965.81 
15,  593.19,  593.31,  524.94,  2974.44 
16,  630.81,  632.94,  513.06,  2984.75 
17,  670.25,  672.00,  496.75,  2997.00 
18,  709.62,  712.06,  479.69,  3013.62 
19,  749.50,  752.00,  460.38,  3029.44 
20,  789.00,  790.12,  439.69,  3047.00 
21,  828.31,  828.69,  418.75,  3067.06 
22,  866.94,  867.62,  395.12,  3087.19 
23,  902.69,  905.31,  372.19,  3107.75 
24,  941.00,  943.81,  347.44,  3130.12 
25,  980.69,  981.38,  321.44,  3152.31 
26,  1023.19,  1021.38,  292.75,  3177.25 
27,  1061.38,  1062.62,  263.19,  3200.94 
28,  1101.06,  1102.06,  232.25,  3225.44 
29,  1141.56,  1143.25,  203.12,  3250.75 
30,  1181.12,  1181.81,  185.19,  3274.62 
31,  1220.25,  1219.62,  160.06,  3295.06 
32,  1259.06,  1258.25,  139.38,  3313.62 
33,  1296.19,  1296.50,  122.31,  3329.94 
34,  1332.69,  1334.25,  109.00,  3340.94 
35,  1372.19,  1372.50,  99.06,  3350.06 
36,  1415.81,  1413.19,  91.00,  3357.06 
37,  1454.00,  1453.19,  84.38,  3361.69 
38,  1493.38,  1492.94,  79.62,  3365.88 
39,  1532.81,  1533.50,  74.06,  3368.44 
40,  1572.25,  1572.38,  73.88,  3371.19 
41,  1612.12,  1609.56,  72.38,  3373.69 
42,  1650.25,  1647.44,  71.19,  3373.69 
43,  1687.50,  1686.19,  69.50,  3374.12 
44,  1724.00,  1725.19,  69.31,  3376.00 
45,  1762.25,  1762.69,  68.62,  3377.12 
46,  1801.12,  1801.00,  67.75,  3377.25 
47,  1841.00,  1838.06,  66.25,  3378.75 
48,  1882.25,  1883.81,  66.00,  3379.19 
49,  1923.12,  1924.06,  65.44,  3379.69 
50,  1963.62,  1962.50,  65.75,  3380.31 
51,  2003.94,  2000.88,  65.50,  3380.81 
52,  2042.12,  2037.19,  64.25,  3380.50 
53,  2078.88,  2081.06,  64.12,  3381.19 
54,  2116.88,  2119.50,  65.38,  3381.31 
55,  2154.62,  2156.62,  64.31,  3381.94 
56,  2193.62,  2194.44,  64.81,  3382.06 
57,  2232.50,  2233.12,  63.56,  3382.25 
58,  2274.19,  2274.38,  63.25,  3382.62 
59,  2314.00,  2312.88,  63.38,  3381.75 
60,  2353.38,  2352.94,  63.38,  3381.88 
61,  2393.25,  2390.31,  65.38,  3382.56 
62,  2430.75,  2427.88,  64.06,  3382.31 
63,  2467.06,  2465.44,  64.94,  3382.00 
64,  2505.31,  2503.25,  65.06,  3383.75 
65,  2544.44,  2541.81,  64.38,  3383.19 
66,  2584.19,  2583.06,  64.00,  3383.31 
67,  2624.19,  2622.38,  63.62,  3384.12 
68,  2665.19,  2662.56,  61.75,  3384.81 
69,  2704.88,  2702.50,  61.69,  3383.44 
70,  2744.31,  2742.00,  60.75,  3384.75 
71,  2783.12,  2780.31,  65.06,  3384.38 
72,  2821.31,  2817.25,  65.75,  3383.31 
73,  2857.69,  2855.25,  67.62,  3384.44 
74,  2895.50,  2894.19,  67.00,  3384.75 
75,  2936.12,  2932.94,  65.56,  3384.06 
76,  2977.94,  2972.94,  65.62,  3386.00 
77,  3015.88,  3012.75,  64.69,  3384.50 
78,  3056.00,  3052.38,  63.81,  3384.75 
79,  3095.81,  3092.69,  64.69,  3383.94 
80,  3134.56,  3131.94,  63.50,  3384.44 
81,  3173.81,  3170.44,  64.50,  3385.31 
82,  3212.12,  3208.00,  63.62,  3385.62 
83,  3249.69,  3246.06,  64.31,  3385.38 
84,  3288.12,  3284.00,  65.56,  3383.81 
85,  3327.00,  3323.50,  64.75,  3384.88 
86,  3365.75,  3363.31,  64.69,  3385.00 
87,  3405.00,  3401.06,  63.81,  3384.75 
88,  3444.62,  3440.00,  63.94,  3384.62 
89,  3483.69,  3477.88,  62.44,  3384.31 
90,  3523.19,  3522.31,  62.56,  3385.94 
91,  3561.94,  3564.31,  61.19,  3384.94 
92,  3601.50,  3600.94,  63.56,  3385.06 
93,  3640.38,  3638.56,  66.31,  3385.50 
94,  3678.69,  3677.12,  65.38,  3385.00 
95,  3717.88,  3717.12,  66.44,  3385.44 
96,  3759.81,  3755.88,  66.62,  3385.81 
97,  3798.25,  3795.00,  66.38,  3385.12 
98,  3837.94,  3834.69,  65.81,  3386.00 
99,  3874.62,  3872.56,  67.19,  3384.94 
100,  3893.56,  3888.25,  66.50,  3384.69 
