Starting Test for 
Transistor testing lab
16:21:20 Oct  1 2017


Please wait for device to measure data untill it stop printing *
PWM Init 

* * * * * * * * * * * * * * * * Reading complete, hit anykey to continue print 

Print Column in the following order: 

Duty, PD0, PE1, PD2, PD3 

refV = 3919
0,  10.75,  11.38,  3895.31,  5.62 
1,  45.06,  45.94,  3892.31,  5.69 
2,  82.00,  83.69,  3894.31,  4.88 
3,  121.00,  121.94,  3894.00,  5.31 
4,  156.56,  160.94,  3893.88,  5.00 
5,  197.38,  197.44,  3894.94,  5.25 
6,  239.94,  239.94,  3894.25,  5.44 
7,  278.38,  277.25,  3893.88,  5.12 
8,  317.81,  319.88,  3896.31,  5.19 
9,  357.38,  357.88,  3896.19,  5.88 
10,  396.62,  396.31,  3895.31,  5.19 
11,  434.75,  436.06,  3896.69,  4.94 
12,  473.81,  474.50,  3896.25,  5.75 
13,  511.50,  517.06,  3895.94,  5.44 
14,  549.75,  556.12,  3897.88,  5.25 
15,  589.19,  594.19,  3895.75,  5.06 
16,  628.19,  632.00,  3895.62,  5.44 
17,  667.94,  671.62,  3897.38,  5.88 
18,  707.75,  709.94,  3896.00,  4.06 
19,  748.31,  750.19,  3895.19,  4.94 
20,  788.38,  788.19,  3895.75,  4.12 
21,  826.44,  827.12,  3896.12,  5.38 
22,  863.69,  865.75,  3895.69,  6.88 
23,  901.25,  904.75,  3896.94,  5.38 
24,  937.44,  944.00,  3895.94,  5.31 
25,  975.69,  981.75,  3896.00,  6.12 
26,  1018.06,  1022.25,  3897.19,  7.69 
27,  1057.44,  1061.75,  3895.00,  11.38 
28,  1102.31,  1101.19,  3894.94,  19.12 
29,  1141.88,  1140.88,  3894.06,  37.75 
30,  1180.62,  1178.81,  3894.38,  75.69 
31,  1219.12,  1218.19,  3898.88,  156.81 
32,  1256.38,  1256.75,  3897.62,  321.44 
33,  1293.94,  1296.06,  3883.31,  634.25 
34,  1330.56,  1334.75,  3855.38,  1172.31 
35,  1368.94,  1372.81,  3812.44,  1996.19 
36,  1407.38,  1412.62,  3752.12,  3109.56 
37,  1447.75,  1451.62,  3740.75,  3370.88 
38,  1494.44,  1491.00,  3738.69,  3383.38 
39,  1533.06,  1530.62,  3735.62,  3388.44 
40,  1573.12,  1569.56,  3738.62,  3391.69 
41,  1610.88,  1607.56,  3741.06,  3392.06 
42,  1649.00,  1646.56,  3740.56,  3394.31 
43,  1685.25,  1687.31,  3741.88,  3394.75 
44,  1722.94,  1727.50,  3741.25,  3394.31 
45,  1761.25,  1765.94,  3741.75,  3394.81 
46,  1799.88,  1803.06,  3742.69,  3395.19 
47,  1839.94,  1838.75,  3741.06,  3394.94 
48,  1881.38,  1882.75,  3741.06,  3395.25 
49,  1923.19,  1922.00,  3741.00,  3394.81 
50,  1964.06,  1960.69,  3740.94,  3394.50 
51,  2002.69,  2000.00,  3742.31,  3395.94 
52,  2041.62,  2038.88,  3742.69,  3394.69 
53,  2077.88,  2085.00,  3742.44,  3395.50 
54,  2115.25,  2122.69,  3743.75,  3395.81 
55,  2153.50,  2159.00,  3743.81,  3395.31 
56,  2192.19,  2197.00,  3743.94,  3396.06 
57,  2232.94,  2235.44,  3743.94,  3395.94 
58,  2273.00,  2274.75,  3742.00,  3393.62 
59,  2314.06,  2314.12,  3745.06,  3397.00 
60,  2352.31,  2352.62,  3745.56,  3395.00 
61,  2390.12,  2391.75,  3746.25,  3395.38 
62,  2426.50,  2429.75,  3745.19,  3396.06 
63,  2470.69,  2469.75,  3745.12,  3394.75 
64,  2507.38,  2507.88,  3746.44,  3396.00 
65,  2545.19,  2546.50,  3745.56,  3395.25 
66,  2583.62,  2586.69,  3745.81,  3395.62 
67,  2624.00,  2625.00,  3744.31,  3394.19 
68,  2665.06,  2664.69,  3744.88,  3396.19 
69,  2706.56,  2705.56,  3745.31,  3396.12 
70,  2744.81,  2742.00,  3745.62,  3395.06 
71,  2782.06,  2781.88,  3747.81,  3395.69 
72,  2820.81,  2820.44,  3748.94,  3395.94 
73,  2860.81,  2860.00,  3750.12,  3395.44 
74,  2898.75,  2899.00,  3749.88,  3395.94 
75,  2937.94,  2938.75,  3750.00,  3395.62 
76,  2978.25,  2977.62,  3749.31,  3395.12 
77,  3017.94,  3016.81,  3748.44,  3394.69 
78,  3056.19,  3054.75,  3747.25,  3394.69 
79,  3097.00,  3094.31,  3747.62,  3395.31 
80,  3136.19,  3133.31,  3747.94,  3395.25 
81,  3175.62,  3172.25,  3748.38,  3395.06 
82,  3213.31,  3211.44,  3748.00,  3395.50 
83,  3251.44,  3250.81,  3748.69,  3396.44 
84,  3289.62,  3288.81,  3749.19,  3395.19 
85,  3327.94,  3326.00,  3749.12,  3394.62 
86,  3366.12,  3364.81,  3749.25,  3395.06 
87,  3407.06,  3403.56,  3749.38,  3395.19 
88,  3446.19,  3445.50,  3748.25,  3394.88 
89,  3486.31,  3485.62,  3748.38,  3394.69 
90,  3526.06,  3524.12,  3747.25,  3395.00 
91,  3563.69,  3563.31,  3747.00,  3394.56 
92,  3603.69,  3604.62,  3749.19,  3394.94 
93,  3642.12,  3644.31,  3751.69,  3395.50 
94,  3680.19,  3683.06,  3752.81,  3395.94 
95,  3722.06,  3721.69,  3752.38,  3394.75 
96,  3762.50,  3761.00,  3752.12,  3395.88 
97,  3799.88,  3798.94,  3752.44,  3394.69 
98,  3839.69,  3838.81,  3753.00,  3395.81 
99,  3877.25,  3875.38,  3751.00,  3393.88 
100,  3899.81,  3895.38,  3752.62,  3397.06 
